,TssA,TssAFlnk,TxFlnk,Tx,TxWk,EnhG,Enh,ZNF/Rpts,Het,TssBiv,BivFlnk,EnhBiv,ReprPC,ReprPCWk,Quies
0,0.06940628969393875,0.06984007900452587,0.005205471727045405,0.12059342834321857,0.4398623609353368,0.013447468628200633,0.11408658868441182,0.011278522075265047,0.03426935553638226,0.0004337893105871172,0.006073050348219641,0.005639261037632523,0.13707742214552904,0.35050176295439067,0.7912317025109018
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022130580648139363,0.0,0.0,0.00015807557605813832,0.0006323023042325533,0.0047422672817441485,0.9999860941437829
2,0.0,0.0004315876101506282,0.0,0.0,0.0,0.0,0.00028772507343375215,0.0,0.002157938050753141,0.0,0.00028772507343375215,0.00028772507343375215,0.002445663124186893,0.03409542120189962,0.999413042572138
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0020087682058567836,0.0,0.0009374251627331656,0.0,0.0,0.0,0.0006695894019522611,0.02450697211145276,0.9996969771147258
4,0.0013786514216697961,0.00034466285541744903,0.0,0.0,0.0,0.0,0.001033988566252347,0.0,0.007237919963766429,0.0,0.0,0.0,0.001033988566252347,0.014475839927532859,0.9998669435660196
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013811877203705157,0.0,0.0,0.00034529693009262893,0.0027623754407410314,0.005524750881482063,0.9999799095482533
6,0.0,0.001388051531083185,0.0,0.0,0.0,0.0,0.001665661837299822,0.000555220612433274,0.027899835774772015,0.0,0.0,0.0,0.0,0.020543162660031138,0.9993971023798931
7,0.0003386751821925053,0.0030480766397325476,0.0,0.0,0.003725427004117558,0.0,0.01727243429181777,0.0,0.006773503643850106,0.0,0.0,0.0,0.0,0.027771364939785433,0.9994304626500831
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0029153660506058836,0.0,0.008121376855259247,0.0,0.0,0.0,0.00499777037246723,0.1270266636335421,0.9918491785025589
9,0.0,0.0007306933955998191,0.0,0.0,0.0,0.0,0.006089111629998492,0.0,0.0,0.0,0.0,0.0,0.0007306933955998191,0.028009913497993064,0.9995885651805525
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01628271412978967,0.0,0.0,0.0,0.0,0.07668633106288036,0.9969223038174448
11,0.0,0.0011884694118576681,0.0,0.0,0.0,0.0,0.0030900204708299373,0.0,0.0033277143532014714,0.0,0.0,0.0,0.0009507755294861346,0.03803102117944538,0.9992650814899274
12,0.0,0.0008891069261055409,0.0,0.0,0.0,0.0,0.00740922438421284,0.0,0.0,0.0,0.0,0.0,0.0,0.0068164864334758135,0.9999489228933649
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0032281382708135528,0.0,0.0014347281203615791,0.0,0.0,0.0001793410150451974,0.0,0.10347976568107889,0.9946252694406646
14,0.0,0.0004637305187683949,0.0,0.0,0.006955957781525924,0.0,0.006492227262757529,0.0,0.0060284967439891346,0.0,0.0,0.0,0.0009274610375367898,0.17760878868829527,0.9840361608265341
15,0.0007241707749905281,0.0,0.0,0.0,0.0,0.0,0.0014483415499810563,0.0,0.09450428613626392,0.0,0.0,0.0,0.0,0.04960569808685118,0.9942864740619951
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0032259210300088796,0.0,0.011437356379122392,0.0,0.0,0.0,0.0,0.057480047443794584,0.9982759260136569
17,0.0,0.0021367375032175485,0.0,0.0,0.0,0.0,0.0029914325045045675,0.0,0.01196573001801827,0.0,0.0,0.0,0.0021367375032175485,0.10854626516345145,0.9940102864968035
18,0.0,0.0,0.0,0.0,0.03994782317233563,0.0,0.0035815289740714707,0.0008265066863241856,0.005234542346719841,0.0016530133726483712,0.0,0.000551004457549457,0.01322410698118697,0.23004436102689832,0.972247365346017
