,TssA,TssAFlnk,TxFlnk,Tx,TxWk,EnhG,Enh,ZNF/Rpts,Het,TssBiv,BivFlnk,EnhBiv,ReprPC,ReprPCWk,Quies
589,0.012477978860884018,0.14505650425777672,0.007798736788052512,0.4632449652103192,0.7720749420171987,0.045232673370704565,0.16065397783388174,0.007798736788052512,0.0,0.0,0.0,0.0,0.0,0.0,0.37433936582652055
590,0.02486435275274508,0.02486435275274508,0.0,0.04534087854912338,0.17405046926921555,0.001462608985455593,0.05704175043276812,0.002925217970911186,0.007313044927277965,0.0,0.001462608985455593,0.001462608985455593,0.02486435275274508,0.16673742434193758,0.966784539386147
591,0.03530415907706869,0.05736925850023663,0.0014710066282111955,0.21917998760346816,0.6648949959514603,0.09414442420551651,0.16033972247502032,0.0,0.017652079538534347,0.0,0.0,0.0,0.0,0.09267341757730532,0.6796050622335724
592,0.002353579742861727,0.054132334085819724,0.06354665305726664,0.0,0.3789263386007381,0.016475058200032092,0.33185474374350354,0.009414318971446909,0.129446885857395,0.004707159485723454,0.007060739228585182,0.007060739228585182,0.03530369614292591,0.054132334085819724,0.8472887074302218
593,0.12893462165646652,0.20311618480128288,0.09361006777798254,0.506907348156245,0.7029586221818311,0.10597366163545194,0.29496002488534123,0.0,0.0,0.008831138469620995,0.005298683081772597,0.03002587079671138,0.008831138469620995,0.007064910775696796,0.2878951141096444
594,0.0,0.012099773183369925,0.0,0.02268707471881861,0.12553514677746297,0.0,0.09377324217111692,0.0,0.07864852569190452,0.0,0.0015124716479212406,0.004537414943763722,0.004537414943763722,0.1603219946796515,0.9710067979654364
595,0.10561444938307037,0.07393011456814927,0.042245779753228144,0.42245779753228146,0.6442481412367292,0.03432469604949787,0.0712897533335725,0.04752650222238167,0.03432469604949787,0.0,0.0,0.007921083703730278,0.005280722469153518,0.07921083703730276,0.6099234451872314
596,0.0,0.021494836076598065,0.0,0.0,0.01477769980266117,0.0,0.06179765372021944,0.0,0.02283826333138544,0.0,0.0,0.0,0.021494836076598065,0.9793584687399992,0.18807981567023305
597,0.0,0.0,0.0,0.0,0.0023039303614580432,0.0,0.016127512530206303,0.0,0.0011519651807290216,0.0,0.0,0.0,0.03686288578332869,0.9849302295233134,0.16818691638643715
598,0.027468923549793262,0.006338982357644599,0.0,0.08240677064937978,0.08451976476859464,0.0,0.012677964715289198,0.10142371772231358,0.13311862951053657,0.0,0.0,0.0,0.0,0.0,0.9783162771964831
599,0.05333111993055689,0.05564986427536372,0.0,0.0,0.23419317882548893,0.0,0.1715870815157048,0.0,0.0,0.0,0.0,0.0,0.0,0.03941865386171596,0.9530039257156037
600,0.006861737558576775,0.025159704381448173,0.0,0.0,0.17611793067013723,0.0,0.10292606337865162,0.0,0.011436229264294625,0.0,0.0,0.0,0.01372347511715355,0.6335671012419222,0.7456421480320095
601,0.06450049053870716,0.1000415771620764,0.011847028874456416,0.3501455200672674,0.7147707420922038,0.03159207699855044,0.20271582740736532,0.0,0.00789801924963761,0.0,0.0,0.0,0.0,0.0,0.5568103570994515
602,0.0,0.01361163766201177,0.0,0.0,0.015124041846679743,0.0,0.057471359017383025,0.0,0.03327289206269544,0.0,0.0030248083693359485,0.01058682929267582,0.04990933809404315,0.9482774237868199,0.30550564530293084
603,0.0,0.008595415181983977,0.0,0.0,0.053721344887399845,0.0,0.019339684159463945,0.0,0.008595415181983977,0.0,0.0,0.006446561386487982,0.03438166072793591,0.5243203261010225,0.8487972492209176
604,0.059420793785631164,0.01800630114716096,0.0,0.14945229952143596,0.581603527053299,0.012604410803012672,0.059420793785631164,0.0,0.03601260229432192,0.0,0.0,0.0,0.0,0.0,0.7940778805897982
605,0.06812748258175734,0.08345616616265274,0.03747011541996653,0.09026891442082846,0.7289640636248036,0.04428286367814227,0.11070715919535566,0.0,0.018735057709983266,0.0,0.003406374129087867,0.0017031870645439335,0.0051095611936318,0.31849598106971555,0.5756772278158494
606,0.04779613023468326,0.15832468140238828,0.02091080697767393,0.19118452093873303,0.48393581862616797,0.0896177441900311,0.3853563000171338,0.014936290698338519,0.03285983953634474,0.0,0.0,0.0,0.029872581396677037,0.3763945255981307,0.6332987256095531
607,0.00047070927363066563,0.00023535463681533282,0.0,0.0,0.001176773184076664,0.0,0.006589929830829319,0.0,0.003765674189045325,0.00047070927363066563,0.0,0.0007060639104459985,0.003530319552229992,0.018828370945226623,0.9997864971915338
608,0.07511363498224426,0.021772068110795437,0.0032658102166193154,0.2667078343572441,0.5062005835759938,0.0,0.01850625789417612,0.022860671516335206,0.027215085138494296,0.0,0.0,0.0,0.007620223838778402,0.004354413622159088,0.8153639507492891
609,0.0,0.019012204735697907,0.0,0.0,0.009506102367848953,0.0,0.06812706696958418,0.0,0.07129576775886716,0.014259153551773431,0.00633740157856597,0.0,0.011090452762490448,0.07604881894279163,0.9918033470455742
610,0.050109184937301085,0.04028385455743813,0.0,0.07565504392494478,0.4254368054480661,0.013755462531808142,0.07663757696293108,0.052074251013273676,0.048144118861328494,0.0,0.0,0.0,0.0,0.019650660759725918,0.8931225315295429
611,0.007263309085308214,0.09623884538033384,0.0,0.4339827178471658,0.1216604271789126,0.047211509054503394,0.24513668162915223,0.02542158179857875,0.3667971088080648,0.0,0.01089496362796232,0.003631654542654107,0.0,0.22153092710190053,0.7354100448874566
612,0.06374810382859294,0.05786366347518437,0.0,0.05590218335738151,0.17751395066115883,0.0019614801178028597,0.13632286818729877,0.05786366347518437,0.13926508836400303,0.0,0.0,0.0,0.0,0.019614801178028596,0.9572022974877955
613,0.07047807591866431,0.10496734711290431,0.020993469422580863,0.18294309068249034,0.2699160354331825,0.08697294475069213,0.17544542303156863,0.0,0.0794752770997704,0.002999067060368694,0.005998134120737388,0.0,0.010496734711290432,0.15145288654861908,0.8997201181106083
614,0.0017878584646486455,0.0044696461616216135,0.0,0.0,0.02234823080810807,0.0,0.02860573543437833,0.0,0.003575716929297291,0.0,0.0,0.006257504626270259,0.0044696461616216135,0.5408271855562152,0.8402934783848635
615,0.019615046447354664,0.02549956038156106,0.0,0.0,0.12749780190780532,0.0,0.05884513934206399,0.000980752322367733,0.08728695669072827,0.0,0.0,0.0,0.0,0.12455554494070212,0.97781006540063
