,chr1,x1,x2,Label
1606,2,26970000,27070000,Boundary-Inactive
1607,2,27200000,27300000,Boundary-Mixed
1608,2,27300000,27540000,Mixed
1609,2,27540000,27640000,Boundary-Mixed
1610,2,28690000,28790000,Boundary-Inactive
1611,2,28790000,28975000,Inactive
1612,2,28975000,29075000,Boundary-Inactive
1613,2,36485000,36585000,Boundary-Inactive
1614,2,36585000,36730000,Inactive
1615,2,36730000,36830000,Boundary-Inactive
1616,2,38020000,38120000,Boundary-Inactive
1617,2,38120000,38515000,Inactive
1618,2,38515000,38522500,Boundary-Inactive
1619,2,38522500,38530000,Boundary-Mixed
1620,2,38530000,38755000,Mixed
1621,2,38755000,38780000,Boundary-Mixed
1622,2,38780000,38805000,Boundary-Mixed
1623,2,38805000,38970000,Mixed
1624,2,38970000,39070000,Boundary-Mixed
1625,2,41970000,42070000,Boundary-Inactive
1626,2,42070000,42315000,Inactive
1627,2,42315000,42317500,Boundary-Inactive
1628,2,42317500,42320000,Boundary-Active
1629,2,42320000,42570000,Active
1630,2,42570000,42670000,Boundary-Active
1631,2,43730000,43830000,Boundary-Inactive
1632,2,43830000,44105000,Inactive
1633,2,44105000,44177500,Boundary-Inactive
1634,2,44177500,44250000,Boundary-Mixed
1635,2,44250000,44595000,Mixed
1636,2,44595000,44695000,Boundary-Mixed
1637,2,45740000,45840000,Boundary-Active
1638,2,45840000,46195000,Active
1639,2,46195000,46215000,Boundary-Active
1640,2,46215000,46235000,Boundary-Inactive
1641,2,46235000,46620000,Inactive
1642,2,46620000,46655000,Boundary-Inactive
1643,2,46655000,46690000,Boundary-Mixed
1644,2,46690000,46855000,Mixed
1645,2,46855000,46870000,Boundary-Mixed
1646,2,46870000,46885000,Boundary-Inactive
1647,2,46885000,47130000,Inactive
1648,2,47130000,47230000,Boundary-Inactive
1649,2,47540000,47640000,Boundary-Mixed
1650,2,47640000,48010000,Mixed
1651,2,48010000,48110000,Boundary-Mixed
1652,2,48235000,48335000,Boundary-Inactive
1653,2,48335000,48675000,Inactive
1654,2,48675000,48775000,Boundary-Inactive
1655,2,54255000,54355000,Boundary-Inactive
1656,2,54355000,54700000,Inactive
1657,2,54700000,54800000,Boundary-Inactive
1658,2,62040000,62140000,Boundary-Mixed
1659,2,62140000,62655000,Mixed
1660,2,62655000,62755000,Boundary-Mixed
1661,2,64165000,64265000,Boundary-Mixed
1662,2,64265000,64555000,Mixed
1663,2,64555000,64655000,Boundary-Mixed
1664,2,64710000,64810000,Boundary-Mixed
1665,2,64810000,65100000,Mixed
1666,2,65100000,65200000,Boundary-Mixed
1667,2,65375000,65475000,Boundary-Mixed
1668,2,65475000,65810000,Mixed
1669,2,65810000,65910000,Boundary-Mixed
1670,2,68600000,68700000,Boundary-Inactive
1671,2,68700000,68900000,Inactive
1672,2,68900000,68917500,Boundary-Inactive
1673,2,68917500,68935000,Boundary-Inactive
